City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bradesti,RO,44.4833,23.6333,29.89,77,79,11.77,broken clouds
1,Vangaindrano,MG,-23.35,47.6,73.04,85,0,5.06,clear sky
2,Albany,US,42.6001,-73.9662,8.85,61,100,15.99,overcast clouds
3,Half Moon Bay,US,37.4636,-122.4286,64.08,61,0,1.99,clear sky
4,Esperance,AU,-33.8667,121.9,76.84,49,2,9.01,clear sky
5,Chapais,CA,49.7834,-74.8492,-18.62,99,6,2.59,clear sky
6,Airai,TL,-8.9266,125.4092,66.16,80,100,4.38,overcast clouds
7,Fortuna,US,40.5982,-124.1573,58.19,78,0,0.0,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,5,2.3,clear sky
9,Broome,US,42.2506,-75.833,10.02,76,75,4.0,broken clouds
10,Gat,IL,31.61,34.7642,49.41,100,0,1.81,clear sky
11,Provideniya,RU,64.3833,-173.3,4.86,86,24,4.0,few clouds
12,Leningradskiy,RU,69.3833,178.4167,-10.43,91,51,4.76,broken clouds
13,Butaritari,KI,3.0707,172.7902,82.56,72,78,18.01,broken clouds
14,Freeport,US,40.6576,-73.5832,20.52,63,100,7.0,overcast clouds
15,Porbandar,IN,21.6422,69.6093,64.15,51,0,7.67,clear sky
16,Thompson,CA,55.7435,-97.8558,-9.24,84,20,2.3,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,6.91,clear sky
18,Solnechnyy,RU,50.7214,136.6319,-7.58,87,99,2.01,overcast clouds
19,Sangar,RU,63.9242,127.4739,-35.0,98,77,3.42,broken clouds
20,Bay Roberts,CA,47.5999,-53.2648,40.03,91,100,11.99,moderate rain
21,Dom Pedrito,BR,-30.9828,-54.6731,68.76,55,0,10.56,clear sky
22,Bowen,AU,-20.0167,148.2333,82.62,56,3,12.84,clear sky
23,Bluff,NZ,-46.6,168.3333,59.32,87,100,7.52,overcast clouds
24,Panzhihua,CN,26.5851,101.7128,44.13,53,0,1.72,clear sky
25,Margate,GB,51.3813,1.3862,44.31,74,7,7.0,clear sky
26,Jamestown,US,42.097,-79.2353,3.72,99,41,3.36,scattered clouds
27,New Norfolk,AU,-42.7826,147.0587,75.65,31,0,2.93,clear sky
28,Juneau,US,58.3019,-134.4197,37.22,92,100,3.0,light rain and snow
29,Hermanus,ZA,-34.4187,19.2345,65.8,83,1,10.89,clear sky
30,Barrow,US,71.2906,-156.7887,-18.09,100,72,9.91,broken clouds
31,Ushuaia,AR,-54.8,-68.3,44.26,87,100,4.61,light rain
32,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5,few clouds
33,Westport,US,41.1415,-73.3579,20.75,50,100,8.01,overcast clouds
34,Bol,TD,13.4586,14.7147,64.81,33,92,19.44,overcast clouds
35,Bud,US,39.447,-86.1758,23.86,63,91,6.38,overcast clouds
36,Hobart,AU,-42.8794,147.3294,77.02,57,20,1.01,few clouds
37,Bima,ID,-8.4667,118.7167,82.8,78,100,1.61,overcast clouds
38,Kalengwa,ZM,-13.4659,25.0027,63.27,99,100,4.05,light rain
39,Sibut,CF,5.718,19.0739,71.65,25,11,4.97,few clouds
40,Port Alfred,ZA,-33.5906,26.891,68.45,87,11,8.03,few clouds
41,Ixtapa,MX,20.7,-105.2,75.22,82,0,1.99,clear sky
42,Kapaa,US,22.0752,-159.319,80.58,67,18,1.01,few clouds
